window_idx,src_ip,dst_ip,sport,dport,proto,ecn_ect0,ecn_ect1,ecn_ce,ecn_non,ratio_ect1,ratio_ce,flow_throughput_bps,flow_packet_count,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_min,iat_max,iat_mean,iat_std,flag_cwr,flag_ece,flag_psh,flag_rst,flag_syn,ratio_cwr,tcp_win_mean,label_is_attack
169,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2335,0.0,0.0,28281520.0,2335,1514,1514,1514.0,0.0,9.5367431640625e-07,0.007155895233154297,0.0004273380289347435,0.0008436666867111009,0,0,1016,0,0,0.0,502.0,0
169,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1209,0.0,0.0,640080.0,1209,66,78,66.1786600496278,1.45327257670421,0.0,0.007430076599121094,0.0008254337389737565,0.00112524848619049,0,0,0,0,0,0.0,5373.425971877585,0
170,192.168.57.10,192.168.56.10,5001,38164,6,0,1589,0,0,1.0,0.0,991536.0,1589,78,78,78.0,0.0,0.0,0.0045969486236572266,0.0006295705322054232,0.0007823667433140612,743,709,0,0,0,0.4675896790434235,1343.351164254248,0
170,192.168.56.10,192.168.57.10,38164,5001,6,0,2127,109,0,0.9512522361359571,0.048747763864042934,27082432.0,2236,1514,1514,1514.0,0.0,9.5367431640625e-07,0.00421595573425293,0.0004473185912608034,0.0005976814830352121,0,2236,50,0,0,0.0,502.0,0
170,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2876,0.0,0.0,34834112.0,2876,1514,1514,1514.0,0.0,9.5367431640625e-07,0.008975982666015625,0.00034681494339652684,0.0008432668978577209,0,0,989,0,0,0.0,502.0,0
170,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1602,0.0,0.0,850944.0,1602,66,78,66.39700374531836,2.1462602288686767,0.0,0.009184122085571289,0.0006227508177986598,0.0011528231046695702,0,0,0,0,0,0.0,11318.239700374532,0
170,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2287,0.0,0.0,27700144.0,2287,1514,1514,1514.0,0.0,9.5367431640625e-07,0.011744976043701172,0.00043675363428845077,0.0009331148004097442,0,0,960,0,0,0.0,502.0,0
170,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1203,0.0,0.0,641040.0,1203,66,78,66.60847880299252,2.632774046935858,0.0,0.012215137481689453,0.0008301173589392232,0.0012556023851802926,0,0,0,0,0,0.0,5372.962593516209,0
171,192.168.57.10,192.168.56.10,5001,38164,6,0,3303,0,0,1.0,0.0,2061072.0,3303,78,78,78.0,0.0,0.0,0.013379812240600586,0.0003020017526858796,0.00036642892944197306,1698,1690,0,0,0,0.5140781108083561,1342.8328792007267,0
171,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,882,0.0,0.0,10682784.0,882,1514,1514,1514.0,0.0,1.1920928955078125e-06,0.01680612564086914,0.0011315957371411881,0.002277400157907425,0,0,415,0,0,0.0,502.0,0
171,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,1681,0.0,0.0,20360272.0,1681,1514,1514,1514.0,0.0,1.9073486328125e-06,0.020071029663085938,0.000593642961411249,0.0012029359644826698,0,0,740,0,0,0.0,502.0,0
171,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,455,0.0,0.0,246288.0,455,66,78,67.66153846153846,4.144605105349597,0.0,0.017254114151000977,0.0021957841738730276,0.0030942980763490717,0,0,0,0,0,0.0,5370.67032967033,0
171,192.168.56.10,192.168.57.10,38164,5001,6,0,4081,863,0,0.8254449838187702,0.17455501618122976,59881728.0,4944,1514,1514,1514.0,0.0,9.5367431640625e-07,0.013153076171875,0.00020163647201942476,0.0002776108480003807,0,4944,161,0,0,0.0,502.0,0
171,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,871,0.0,0.0,472016.0,871,66,86,67.74052812858783,4.396188642172557,0.0,0.020004987716674805,0.0011423332937832537,0.0016857282842902938,0,0,0,0,0,0.0,11313.54420206659,0
172,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,1031,0.0,0.0,12487472.0,1031,1514,1514,1514.0,0.0,9.5367431640625e-07,0.014646053314208984,0.0009706622188531079,0.0017363436417164395,0,0,476,0,0,0.0,502.0,0
172,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,1265,0.0,0.0,15321680.0,1265,1514,1514,1514.0,0.0,9.5367431640625e-07,0.016777992248535156,0.0007901582159573518,0.0013633617865604656,0,0,597,0,0,0.0,502.0,0
172,192.168.56.10,192.168.57.10,38164,5001,6,0,4505,862,0,0.8393888578349171,0.1606111421650829,65005104.0,5367,1514,1514,1514.0,0.0,9.5367431640625e-07,0.005115032196044922,0.00018628830790653008,0.0001989663785877424,0,5367,207,0,0,0.0,502.0,0
172,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,651,0.0,0.0,350352.0,651,66,78,67.27188940092167,3.6939098747645494,0.0,0.018195152282714844,0.0015360553448016828,0.0019158601979101094,0,0,0,0,0,0.0,5371.735791090629,0
172,192.168.57.10,192.168.56.10,5001,38164,6,0,3570,0,0,1.0,0.0,2227680.0,3570,78,78,78.0,0.0,0.0,0.005126237869262695,0.00027998350821612894,0.00026481460955066265,1709,1809,0,0,0,0.47871148459383756,1342.9532212885154,0
172,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,537,0.0,0.0,289392.0,537,66,86,67.36312849162012,3.923426737353225,0.0,0.014899969100952148,0.0018617501899377623,0.00238110442826882,0,0,0,0,0,0.0,11316.027932960895,0
173,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1230,0.0,0.0,654144.0,1230,66,78,66.47804878048781,2.3469245256990647,0.0,0.019865989685058594,0.0008125004485140398,0.0017030872927141058,0,0,0,0,0,0.0,11318.11463414634,0
173,192.168.56.10,192.168.57.10,38164,5001,6,0,1608,170,0,0.9043869516310461,0.09561304836895389,21535136.0,1778,1514,1514,1514.0,0.0,9.5367431640625e-07,0.01418304443359375,0.0005615857724869728,0.0008833454888676126,0,1778,41,0,0,0.0,502.0,0
173,192.168.57.10,192.168.56.10,5001,38164,6,0,1279,0,0,1.0,0.0,798096.0,1279,78,78,78.0,0.0,0.0,0.014703035354614258,0.0007803958719698289,0.0011337677303041365,675,610,0,0,0,0.527756059421423,1343.4933541829555,0
173,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2509,0.0,0.0,30389008.0,2509,1514,1514,1514.0,0.0,9.5367431640625e-07,0.015018939971923828,0.00039841864477884636,0.0009483219211777605,0,0,885,0,0,0.0,502.0,0
173,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1351,0.0,0.0,714480.0,1351,66,78,66.10658771280534,1.1259181200881712,0.0,0.015710115432739258,0.0007388222659075701,0.001301620545275729,0,0,0,0,0,0.0,5373.663952627683,0
173,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2244,0.0,0.0,27179328.0,2244,1514,1514,1514.0,0.0,9.5367431640625e-07,0.01975393295288086,0.00044407665968685344,0.0012476359767951504,0,0,926,0,0,0.0,502.0,0
174,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2719,0.0,0.0,32932528.0,2719,1514,1514,1514.0,0.0,9.5367431640625e-07,0.00803995132446289,0.0003663443571684376,0.0008672809785070374,0,0,1007,0,0,0.0,502.0,0
174,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1420,0.0,0.0,758592.0,1420,66,86,66.77746478873239,3.174466670659241,0.0,0.0080718994140625,0.0007015601945141825,0.001168942537808039,0,0,0,0,0,0.0,5371.904225352113,0
174,192.168.56.10,192.168.57.10,38164,5001,6,0,1044,69,0,0.9380053908355795,0.06199460916442048,13480656.0,1113,1514,1514,1514.0,0.0,9.5367431640625e-07,0.006834983825683594,0.0008967049259076016,0.0009307193291333946,0,1113,24,0,0,0.0,502.0,0
174,192.168.57.10,192.168.56.10,5001,38164,6,0,835,0,0,1.0,0.0,521040.0,835,78,78,78.0,0.0,0.0,0.007005929946899414,0.0011951248708674661,0.0011601918333123617,356,441,0,0,0,0.42634730538922155,1343.6922155688624,0
174,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,3208,0.0,0.0,38855296.0,3208,1514,1514,1514.0,0.0,9.5367431640625e-07,0.011595010757446289,0.0003102195199717232,0.0008846452892235323,0,0,1018,0,0,0.0,502.0,0
174,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1732,0.0,0.0,917568.0,1732,66,78,66.2217090069284,1.615968192566827,0.0,0.011690855026245117,0.0005746061301933831,0.0012195634255117798,0,0,0,0,0,0.0,11318.599307159353,0
175,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1728,0.0,0.0,920864.0,1728,66,86,66.61342592592592,2.925558719046176,0.0,0.0362849235534668,0.000578915513728351,0.0015515934619408202,0,0,0,0,0,0.0,11317.71238425926,0
