window_idx,src_ip,dst_ip,sport,dport,proto,ecn_ect0,ecn_ect1,ecn_ce,ecn_non,ratio_ect1,ratio_ce,flow_throughput_bps,flow_packet_count,pkt_len_min,pkt_len_max,pkt_len_mean,pkt_len_std,iat_min,iat_max,iat_mean,iat_std,flag_cwr,flag_ece,flag_psh,flag_rst,flag_syn,ratio_cwr,tcp_win_mean,label_is_attack
213,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,1742,0.0,0.0,21099104.0,1742,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0225970745086669,0.000572773179126,0.0015631872874288,0,0,843,0,0,0.0,502.0,0
213,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,880,0.0,0.0,469152.0,880,66,78,66.64090909090909,2.6981743138832184,0.0,0.0226659774780273,0.0011341628767931,0.0021918747540013,0,0,0,0,0,0.0,11317.565909090908,0
214,192.168.56.10,192.168.57.10,38164,5001,6,0,1018,69,0,0.936522539098436,0.0634774609015639,13165744.0,1087,1514,1514,1514.0,0.0,9.5367431640625e-07,0.033229112625122,0.0009184761820138,0.001451237010766,0,1087,24,0,0,0.0,502.0,0
214,192.168.57.10,192.168.56.10,5001,38164,6,0,869,0,0,1.0,0.0,542256.0,869,78,78,78.0,0.0,0.0,0.0335760116577148,0.0011487463102912,0.0016829523123656,443,430,0,0,0,0.5097813578826237,1343.3901035673186,0
214,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2932,0.0,0.0,35512384.0,2932,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0318448543548584,0.0003410166581309,0.0008512819358238,0,0,992,0,0,0.0,502.0,0
214,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1580,0.0,0.0,840384.0,1580,66,78,66.48607594936709,2.36572220766766,0.0,0.0309929847717285,0.0006330380189109,0.0011286172095397,0,0,0,0,0,0.0,5373.203797468354,0
214,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,2513,0.0,0.0,30437456.0,2513,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0309309959411621,0.0003971225896458,0.0011204495523246,0,0,941,0,0,0.0,502.0,0
214,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1346,0.0,0.0,714432.0,1346,66,78,66.3476968796434,2.0128262308522573,0.0,0.0331850051879882,0.0007414878079439,0.0016014855593372,0,0,0,0,0,0.0,11318.130014858842,0
215,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2465,0.0,0.0,29856080.0,2465,1514,1514,1514.0,0.0,9.5367431640625e-07,0.008923053741455,0.0004056525694859,0.0009327137427162,0,0,994,0,0,0.0,502.0,0
215,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1342,0.0,0.0,710592.0,1342,66,78,66.18777943368107,1.4893260517627736,0.0,0.0089778900146484,0.0007387338335348,0.0012320058364437,0,0,0,0,0,0.0,5373.502980625932,0
215,192.168.56.10,192.168.57.10,38164,5001,6,0,1408,62,0,0.9578231292517008,0.0421768707482993,17804640.0,1470,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0062990188598632,0.0006802320642646,0.0008479402435273,0,1470,33,0,0,0.0,502.0,0
215,192.168.57.10,192.168.56.10,5001,38164,6,0,1124,0,0,1.0,0.0,701376.0,1124,78,78,78.0,0.0,0.0,0.0065701007843017,0.0008893189213685,0.0010570137095407,513,715,0,0,0,0.4564056939501779,1343.3567615658362,0
215,192.168.55.10,192.168.57.20,41886,5001,6,0,0,0,3227,0.0,0.0,39085424.0,3227,1514,1514,1514.0,0.0,9.5367431640625e-07,0.008451223373413,0.0003093976968574,0.0007289181751623,0,0,967,0,0,0.0,502.0,0
215,192.168.57.20,192.168.55.10,5001,41886,6,0,0,0,1752,0.0,0.0,928224.0,1752,66,78,66.22602739726027,1.6313308624589418,0.0,0.009728193283081,0.0005699817552898,0.0010265652253413,0,0,0,0,0,0.0,11318.425228310502,0
216,192.168.54.10,192.168.57.20,59034,5001,6,0,0,0,2497,0.0,0.0,30243664.0,2497,1514,1514,1514.0,0.0,9.5367431640625e-07,0.0113108158111572,0.0004005969907992,0.0009724139297639,0,0,1026,0,0,0.0,502.0,0
216,192.168.57.20,192.168.54.10,5001,59034,6,0,0,0,1350,0.0,0.0,718944.0,1350,66,78,66.56888888888889,2.550104330956957,0.0,0.0114681720733642,0.0007377687076712,0.0012900414265787,0,0,0,0,0,0.0,5372.974814814815,0
